Tower_ID	Latitude	Longitude	Address			
1267626	40.1023333	-74.7264167	SW FROM INTERSECTION US HWY 206  JERSEY TPKE	COLUMBUS	NJ	SBA Properties LLC
1270334	40.5878056	-74.2546944	381 BLAIR ROAD	AVENEL	NJ	CCATT LLC
1271168	39.2808333	-81.675	1 MI SE OF CR 212  FAIRFIELD DR	PORTERFIELD	OH	American Towers LLC
1272650	40.1217778	-74.8515278	Toll Plaza at Interchange 29 of Pennsylvania Turnpike	Bristol	PENNSYLVANIA TURNPIKE COMMISSION	
1272950	40.7198056	-73.9844167	40 Clinton Street  NY01879C	New York	NY	T-Mobile Northeast LLC
1273695	40.6886667	-74.1657778	NA	NEWARK	NJ	THE PORT AUTHORITY OF NY  NJ
1273918	40.72325	-74.0005556	72-76- Greene St NY01853C	New York	NY	T-Mobile Northeast LLC
1273918	40.0603889	-75.0518333	NA	PHILADELPHIA		PHILADELPHIA CITY OF
1273949	40.11175	-74.7081944	NA	MANSFIELD		COMCAST CELLULAR COMMUNICATIONS
1274505	40.7379167	-73.99175	101 5th Ave NY01837C	New York	NY	T-Mobile Northeast LLC
1274651	40.7378611	-73.9842222	39 Gramercy Park NY01845B	New York	NY	T-Mobile Northeast LLC
1276160	40.713	-74.0131389	One World Trade Center The Freedom Tower	New York	NY	Port Authority of New York and New Jersey
1276206	40.1118611	-74.7073889	NA	FIELDSBORO		SBC TOWER HOLDINGS LLC
1276695	40.4478611	-74.3623611	NA	SAYREVILLE		THE NEW BRUNSWICK CELLULAR TELEPHONE CO
1277955	40.7199444	-74.0061389	250 West Broadway NY01478A	New York	NY	T-Mobile Northeast LLC
1278033	40.6995278	-74.1345	Intersection of Port St  Navy St NJ05423F	Port Newark	NJ	T-Mobile Northeast LLC
1278034	40.7095	-74.1769722	602 ROUTE 1 AND 9	Newark	NJ	New Cingular Wireless Services Inc
1279066	40.7371111	-74.0084444	756 Washington St NY01884B	New York	NY	T-Mobile Northeast LLC
1279304	40.6925	-74.1786389	Tower Road NJ06748A	Newark	NJ	T-Mobile Northeast LLC
1279475	40.6890278	-74.1856944	NLIA AIRPORT W0701 POLE 2	Newark	NJ	Port Authority of New York and New Jersey
1280126	40.7094167	-74.1765833	602 Rte 1  9 South Block 508801 Lot 7601	Newark	NJ	STC Five LLC
1280223	40.6901111	-74.1648333	NA	NEWARK	NJ	THE PORT AUTHORITY OF NY  NJ
1280559	40.7165	-74.0055	33 Thomas St	New York	NY	ATT Corp
1280621	40.7457222	-74.0491111	148 Griffith St NJ05010D	Jersey City	NJ	T-Mobile Northeast LLC
1283627	40.1207222	-74.71425	NA	BORDENTOWN		NEXTEL COMMUNICATIONS
1284559	40.7199444	-74.0061389	250 West Broadway NY01478A	New York	NY	T-Mobile Northeast LLC
1284559	40.0637222	-75.0854444	NA	CHELTENHAM		COMCAST CELLULAR COMMUNICATIONS
1291123	40.7087222	-74.0053333	64 Fulton Street NY01777C	New York	NY	T-Mobile Northeast LLC
1291125	40.7200556	-74.0048056	32 Avenue Of The Americas  West Tower	New York	NY	32 AA Associates LLC   co Rudin Management Company Inc
1292950	40.7100833	-74.1575278	20-36 Frontage Rd	Newark	NJ	STC Five LLC
1297856	40.7165	-74.0055	33 Thomas St	New York	NY	ATT Corp
1297856	40.0563889	-75.0452778	NA	CHELTENHAM		NEXTEL COMMUNICATIONS
1301349	40.6678611	-74.2170833	248-250 Morris Ave	Elizabeth	NJ	
1301899	40.6620556	-74.2156944	COUNTY COURTHOUSE BROAD ST	ELIZABETH	NJ	
1305192	40.7430278	-73.9904444	19 West 24th Street NY01783A	New York	NY	T-Mobile Northeast LLC
1307868	40.7143333	-74.0040556	52 Duane Street NY01680A	New York	NY	T-Mobile Northeast LLC
1456094	40.6848056	-74.1623611	NA	NEWARK	NJ	THE PORT AUTHORITY OF NEW YORK
1987705	40.68825	-74.16525	NA	NEWARK	NJ	THE PORT AUTHORITY OF NY  NJ
1987708	40.1069444	-75.9515	7060 DIVISION HIGHWAY (51124)	Narvon	PA	
1987710	40.4513889	-76.0683056	IRISH CREEK ROAD RURAL ROUTE 1 (2165)	Bernville	PA	
1987910	40.3744444	-76.4533611	1913 Water Street	Lebanon	PA	
